artist,data-has-content,rank,song,year
Norma Jean ,false ,48 ,I'm A Walkin' Advertisement (For The Blues),1964
Bobby Bare ,true ,49 ,Miller's Cave,1964
Billy Walker ,true ,50 ,It's Lonesome,1964
Jim Reeves ,true ,1 ,This Is It,1965
Del Reeves ,true ,2 ,Girl On The Billboard,1965
Eddy Arnold ,true ,3 ,What's He Doing In My World,1965
Sonny James ,true ,4 ,I'll Keep Holding On (Just To Your Love),1965
Kitty Wells ,true ,5 ,You Don't Hear,1965
Marty Robbins ,true ,6 ,Ribbon Of Darkness,1965
Charlie Louvin ,true ,7 ,See The Big Man Cry,1965
Dick Curless ,true ,8 ,A Tombstone Every Mile,1965
Billy Walker ,true ,9 ,Matamoros,1965
Johnny Bond ,true ,10 ,10 Little Bottles,1965
George Jones ,true ,11 ,Things Have Gone To Pieces,1965
Bill Anderson ,true ,12 ,Certain,1965
Connie Smith ,true ,13 ,Then And Only Then,1965
Roger Miller ,true ,14 ,King Of The Road,1965
Stonewall Jackson ,true ,15 ,I Washed My Hands In Muddy Water,1965
George &amp; Gene ,true ,16 ,I've Got Five Dollars And It's Saturday Night,1965
Buck Owens ,true ,17 ,Before You Go,1965
Dave Dudley ,true ,18 ,Two Six Packs Away,1965
Johnny Sea ,true ,19 ,My Old Faded Rose,1965
Hank Snow ,true ,20 ,The Wishing Well (Down In The Well),1965
Porter Wagoner ,true ,21 ,I'm Gonna Feed You Now,1965
Carl Butler &amp; Pearl ,true ,22 ,Just Thought I'd Let You Know,1965
Buck Owens ,true ,23 ,I've Got A Tiger By The Tail,1965
Lefty Frizzell ,true ,24 ,She's Gone Gone Gone,1965
Loretta Lynn ,true ,25 ,Blue Kentucky Girl,1965
Webb Pierce ,true ,26 ,Loving You Then Losing You,1965
Jimmy Newman ,true ,27 ,Back In Circulation,1965
Roy Drusky ,true ,28 ,(From Now On All My Friends Are Gonna Be) Strangers,1965
Ernest ,true ,29 ,Because I Cared,1965
Johnny Cash ,true ,30 ,Orange Blossom Special,1965
'Little Jimmy Dickens' ,true ,32 ,He Stands Real Tall,1965
Kitty Wells ,true ,33 ,Six Lonely Hours,1965
Johnny Wright ,true ,34 ,Blame It On The Moonlight,1965
